wl,LightSet,Watts/sr/m2,Color
395,Red100,1.8798e-05,Red
395,Red20,0,Red
395,Red30,5.6983e-05,Red
395,Red40,0,Red
395,Red50,0,Red
395,Red60,0,Red
395,Red70,4.7577e-05,Red
395,Red80,1.2359e-07,Red
395,Red90,3.7835e-05,Red
395,White10,1.2211e-05,White
395,White100,6.6813e-05,White
395,White20,2.6015e-05,White
395,White30,0,White
395,White40,0,White
395,White50,0,White
395,White60,6.0353e-05,White
395,White70,5.5931e-05,White
395,White80,6.4317e-05,White
395,White90,7.601e-05,White
396,Red10,0.00011031,Red
396,Red100,2.8966e-05,Red
396,Red20,0,Red
396,Red30,0,Red
396,Red40,0,Red
396,Red50,0,Red
396,Red60,0,Red
396,Red70,8.7367e-05,Red
396,Red80,0,Red
396,Red90,2.9909e-05,Red
396,White10,1.7941e-05,White
396,White100,7.6824e-05,White
396,White20,3.5008e-05,White
396,White30,0,White
396,White40,0,White
396,White50,0,White
396,White60,6.8048e-05,White
396,White70,6.1276e-05,White
396,White80,7.0165e-05,White
396,White90,8.3776e-05,White
397,Red10,0.00013124,Red
397,Red100,4.4369e-05,Red
397,Red20,0,Red
397,Red30,0,Red
397,Red40,0,Red
397,Red50,0,Red
397,Red60,0,Red
397,Red70,5.359e-05,Red
397,Red80,1.8193e-05,Red
397,Red90,0,Red
397,White10,2.1619e-05,White
397,White100,7.9908e-05,White
397,White20,4.0906e-05,White
397,White30,0,White
397,White40,0,White
397,White50,0,White
397,White60,6.4855e-05,White
397,White70,6.2413e-05,White
397,White80,6.4426e-05,White
397,White90,8.5386e-05,White
398,Red10,3.9676e-05,Red
398,Red100,2.1774e-06,Red
398,Red20,0,Red
398,Red30,0,Red
398,Red40,0,Red
398,Red50,0,Red
398,Red60,0,Red
398,Red70,1.7088e-05,Red
398,Red80,0,Red
398,Red90,0,Red
398,White10,1.6103e-05,White
398,White100,8.5833e-05,White
398,White20,3.6141e-05,White
398,White30,0,White
398,White40,0,White
398,White50,0,White
398,White60,6.5771e-05,White
398,White70,7.6088e-05,White
398,White80,7.0923e-05,White
398,White90,8.3267e-05,White
399,Red10,2.6075e-05,Red
399,Red100,0,Red
399,Red20,0,Red
399,Red30,0,Red
399,Red40,0,Red
399,Red50,0,Red
399,Red60,0,Red
399,Red70,4.9403e-05,Red
399,Red80,0,Red
399,Red90,0,Red
399,White10,1.6219e-05,White
399,White100,8.4407e-05,White
399,White20,3.9299e-05,White
399,White30,0,White
399,White40,0,White
399,White50,0,White
399,White60,6.7969e-05,White
399,White70,8.5502e-05,White
399,White80,7.4176e-05,White
399,White90,7.4734e-05,White
400,Red10,0.00010913,Red
400,Red100,0,Red
400,Red20,0,Red
400,Red30,0,Red
400,Red40,0,Red
400,Red50,3.9867e-06,Red
400,Red60,0,Red
400,Red70,3.0463e-05,Red
400,Red80,0,Red
400,Red90,0,Red
400,White10,2.2693e-05,White
400,White100,7.9433e-05,White
400,White20,3.9874e-05,White
400,White30,0,White
400,White40,0,White
400,White50,0,White
400,White60,7.1479e-05,White
400,White70,8.2072e-05,White
400,White80,7.1173e-05,White
400,White90,7.5792e-05,White
401,Red10,0.00019197,Red
401,Red100,5.5958e-05,Red
