filename,site,condition,mean_dsu,median_dsu,sd_dsu,mean_dsu_g,iso,aperture_f,exposure_s
grte16_distance_dark_p1.CR2,GRTE16,dark,15.391122231296313,5.723883627490754,62.547977759471856,14.367247522554814,3200.0,3.5,30.0
grte16_distance_dark_p2.CR2,GRTE16,dark,15.335233817389499,5.689270598728132,62.50892643576193,14.303158083622886,3200.0,3.5,30.0
grte16_distance_dark_p3.CR2,GRTE16,dark,15.36577125721616,5.707553126969296,62.45458467888657,14.34483554273236,3200.0,3.5,30.0
grte16_distance_white100_p1.CR2,GRTE16,white100,83.12911234208951,8.775619650046226,351.48338788167,77.39087367874849,3200.0,3.5,30.0
grte16_distance_white100_p2.CR2,GRTE16,white100,83.19501533694296,8.783945735551669,352.37363987439403,77.45276694361704,3200.0,3.5,30.0
grte16_distance_white100_p3.CR2,GRTE16,white100,83.17811959582599,8.772685717353673,352.1652702786974,77.43193508437257,3200.0,3.5,30.0
grte17_distance_dark_p1.CR2,GRTE17,dark,19.073160216591475,3.3434182931635186,339.83380390282764,16.9976794200663,3200.0,3.5,30.0
grte17_distance_dark_p2.CR2,GRTE17,dark,4.417176967586125,2.7881151684445853,24.369968285092995,4.110514911733992,3200.0,3.5,30.0
grte17_distance_dark_p3.CR2,GRTE17,dark,2.91322265046843,2.6050783462241256,5.163678351575671,2.893386054942759,3200.0,3.5,30.0
grte17_distance_white100_p1.CR2,GRTE17,white100,28.6280564846738,3.8751828748976784,136.45060375339864,27.447790239055788,3200.0,3.5,30.0
grte17_distance_white100_p2.CR2,GRTE17,white100,28.609771362416282,3.8602012790905205,136.53682455742236,27.42043420199366,3200.0,3.5,30.0
grte17_distance_white100_p3.CR2,GRTE17,white100,28.59838427909598,3.8628888580787004,136.2555715302991,27.406400021792276,3200.0,3.5,30.0
