color,dist_km,response,SE,df,lower_CL,upper_CL,species
R,0.7654293898355612,8.113090781314037,1.565008470289056,Inf,5.55891796626957,11.840837088303758,Laci
W,0.7654293898355612,6.521145400834185,1.2658570056784606,Inf,4.457509330937741,9.540156661853727,Laci
R,0.9567867372944515,7.984866105989635,1.4946013726805703,Inf,5.532741229987334,11.523778915416223,Laci
W,0.9567867372944515,6.418080887653707,1.2093864591147683,Inf,4.436184859303615,9.285402567045415,Laci
R,1.1481440847533417,7.858667978599329,1.4299978298638618,Inf,5.50123958904603,11.226317523206083,Laci
W,1.1481440847533417,6.316645274493728,1.1575674705892003,Inf,4.4106044984945765,9.046380725681157,Laci
R,1.339501432212232,7.734464370233574,1.3713139764345297,Inf,5.464028187705949,10.948321831320683,Laci
W,1.339501432212232,6.216812817136437,1.1104892319542436,Inf,4.380466907171385,8.822977646524144,Laci
R,1.5308587796711224,7.612223758188956,1.3186497130204313,Inf,5.420753639963175,10.689648413007394,Laci
W,1.5308587796711224,6.118558178242727,1.0682276562222335,Inf,4.345496501691223,8.615069455462905,Laci
R,1.7222161271300127,7.491915117967832,1.2720781234287468,Inf,5.371114376049295,10.450120441508881,Laci
W,1.7222161271300127,6.021856420921633,1.0308371115557473,Inf,4.305459346752643,8.422505436393442,Laci
R,1.913573474588903,7.373507915404294,1.231634029985545,Inf,5.314882716657796,10.229504934912068,Laci
W,1.913573474588903,5.926683002401374,0.9983415346813832,Inf,4.2601802940327405,8.24509034515604,Laci
R,2.1049308220477934,7.256972098914701,1.1973026943629543,Inf,5.251926730086313,10.027490243292283,Laci
W,2.1049308220477934,5.833013767800444,0.9707257069546859,Inf,4.2095598566891335,8.082567007874747,Laci
R,2.2962881695066835,7.142278091870588,1.1690099740974498,Inf,5.182229335556236,9.843666313956975,Laci
W,2.2962881695066835,5.740824943997113,0.9479276999191071,Inf,4.153588870522937,7.934601152152589,Laci
R,2.487645516965574,7.029396785092163,1.1466153559835883,Inf,5.105901895945518,9.677510490654221,Laci
W,2.487645516965574,5.650093133595869,0.9298335728415099,Inf,4.092358842249533,7.80077056995302,Laci
R,2.679002864424464,6.918299529460465,1.1299091081675003,Inf,5.023189887127408,9.528381258687402,Laci
W,2.679002864424464,5.560795308989176,0.9162752606963382,Inf,4.026066161603037,7.680560434745516,Laci
R,2.8703602118833547,6.808958128646218,1.1186142995971808,Inf,4.934469185419435,9.395521393597797,Laci
W,2.8703602118833547,5.472908806513099,0.9070322123666277,Inf,3.955009086714903,7.573365862804602,Laci
R,3.0617175593422448,6.701344831953671,1.1123937141153923,Inf,4.840232913307836,9.278070572447273,Laci
W,3.0617175593422448,5.386411320695304,0.9018367911631435,Inf,3.8795774738952193,7.478501746888464,Laci
R,3.253074906801135,6.5954323272775035,1.1108609171054313,Inf,4.741070276270605,9.175086014104535,Laci
W,3.253074906801135,5.301280898593954,0.9003828680789389,Inf,3.8002363512718076,7.395218762220361,Laci
R,3.4444322542600254,6.491193734171034,1.1135941240269216,Inf,4.637640003979399,9.085568534510266,Laci
W,3.4444322542600254,5.217495934226086,0.9023365778485769,Inf,3.7175053285322837,7.322723551929225,Laci
R,3.6357896017189155,6.388602597024033,1.1201512246576621,Inf,4.530641581297603,9.008490830787101,Laci
W,3.6357896017189155,5.135035163084049,0.9073479822364413,Inf,3.63193627180068,7.260200662341557,Laci
R,3.827146949177806,6.2876328783482895,1.1300843734916137,Inf,4.420787342502355,8.94282492007595,Laci
W,3.827146949177806,5.053877656738582,0.9150624239119898,Inf,3.544091595550186,7.206833875668034,Laci
R,4.018504296636697,6.188258952169362,1.1429528920464473,Inf,4.308777849377792,8.887566311787033,Laci
W,4.018504296636697,4.97400281752723,0.9251306042019107,Inf,3.4545250369102796,7.1618250741922145,Laci
R,4.209861644095587,6.090455597522722,1.1583337054326812,Inf,4.195282047749785,8.841753418054862,Laci
W,4.209861644095587,4.895390373326675,0.937216777211473,Inf,3.3637660798385753,7.124409467976305,Laci
R,4.401218991554477,5.994197992052721,1.1758290146312464,Inf,4.080922767607575,8.804481636635563,Laci
W,4.401218991554477,4.818020372407698,0.9510048172829426,Inf,3.27230848963917,7.093866725106744,Laci
