rec_key,site,id_445,id_30
GRTE01_20220809_213856,GRTE01,Laci,Laci
GRTE01_20220809_220214,GRTE01,Myev,Myse
GRTE01_20220809_232433,GRTE01,Anpa,Anpa
GRTE01_20220809_232824,GRTE01,Lano,Epfu
GRTE01_20220809_233429,GRTE01,Lano,Lano
GRTE01_20220810_001505,GRTE01,Mylu,Mylu
GRTE01_20220810_003901,GRTE01,Lano,Lano
GRTE01_20220810_004748,GRTE01,Lano,Lano
GRTE01_20220810_005155,GRTE01,Lano,Lano
GRTE01_20220810_014226,GRTE01,Lano,Epfu
GRTE01_20220810_023448,GRTE01,Lano,Lano
GRTE01_20220810_040920,GRTE01,Lano,Lano
GRTE01_20220810_041245,GRTE01,Lano,Lano
GRTE01_20220810_043246,GRTE01,Laci,Laci
GRTE01_20220810_052431,GRTE01,Laci,Laci
GRTE01_20220810_053505,GRTE01,Laci,Laci
GRTE01_20220810_053745,GRTE01,Mylu,Mylu
GRTE01_20220810_214612,GRTE01,Lano,Lano
GRTE01_20220810_214835,GRTE01,Laci,Laci
GRTE01_20220810_215648,GRTE01,Laci,Laci
GRTE01_20220810_221940,GRTE01,Lano,Lano
GRTE01_20220810_230002,GRTE01,Laci,Laci
GRTE01_20220810_230323,GRTE01,Lano,Lano
GRTE01_20220811_004806,GRTE01,Lano,Lano
GRTE01_20220811_013528,GRTE01,Mylu,Mylu
GRTE01_20220811_014210,GRTE01,Lano,Lano
GRTE01_20220811_015947,GRTE01,Lano,Epfu
GRTE01_20220811_021704,GRTE01,Lano,Epfu
GRTE01_20220811_021821,GRTE01,Lano,Epfu
GRTE01_20220811_022216,GRTE01,Lano,NoID
GRTE01_20220811_024241,GRTE01,Myvo,Myvo
GRTE01_20220811_024416,GRTE01,Myvo,Mylu
GRTE01_20220811_030836,GRTE01,Lano,Epfu
GRTE01_20220811_031710,GRTE01,Myvo,Mylu
GRTE01_20220811_033744,GRTE01,Laci,Laci
GRTE01_20220811_033833,GRTE01,Lano,NoID
GRTE01_20220811_035311,GRTE01,Lano,Lano
GRTE01_20220811_040102,GRTE01,Laci,Laci
GRTE01_20220811_041230,GRTE01,Myvo,Mylu
GRTE01_20220811_041506,GRTE01,Lano,Epfu
GRTE01_20220811_051455,GRTE01,Laci,Laci
GRTE01_20220811_052532,GRTE01,Myvo,Mylu
GRTE01_20220811_053435,GRTE01,Laci,Laci
GRTE01_20220812_002445,GRTE01,Mylu,Lano
GRTE01_20220812_002625,GRTE01,Laci,Laci
GRTE01_20220812_010616,GRTE01,Anpa,Laci
GRTE01_20220812_011224,GRTE01,Laci,NoID
GRTE01_20220812_012649,GRTE01,Lano,Epfu
GRTE01_20220812_013046,GRTE01,Laci,Laci
GRTE01_20220812_014223,GRTE01,Lano,Epfu
GRTE01_20220812_015037,GRTE01,Myvo,Myvo
GRTE01_20220812_020839,GRTE01,Mylu,Mylu
GRTE01_20220812_033811,GRTE01,Laci,Laci
GRTE01_20220814_220135,GRTE01,Myev,Myse
GRTE01_20220814_221237,GRTE01,Myev,Myse
GRTE01_20220814_222321,GRTE01,Lano,Lano
GRTE01_20220815_003248,GRTE01,Lano,Lano
GRTE01_20220815_004021,GRTE01,Myvo,Myvo
GRTE01_20220815_004745,GRTE01,Myvo,Myvo
