rec_key,site,id_a,id_b
GRTE01_20240715_221233,GRTE01,Epfu,Epfu
GRTE01_20240715_222022,GRTE01,Laci,Laci
GRTE01_20240715_222333,GRTE01,Lano,Lano
GRTE01_20240715_222440,GRTE01,Lano,Lano
GRTE01_20240715_223323,GRTE01,Lano,Epfu
GRTE01_20240715_224435,GRTE01,Lano,Lano
GRTE01_20240715_224603,GRTE01,Lano,Lano
GRTE01_20240715_225822,GRTE01,Lano,Epfu
GRTE01_20240715_225922,GRTE01,Lano,Lano
GRTE01_20240715_230040,GRTE01,Mylu,Labo
GRTE01_20240715_231740,GRTE01,Lano,Lano
GRTE01_20240715_232110,GRTE01,Lano,Lano
